Date,Close,High,Low,Open,Volume
2024-01-02,184.73,187.52,182.99,186.24,82488700
2024-01-03,183.35,184.97,182.54,183.32,58414500
2024-01-04,181.02,182.20,180.00,181.26,71983600
2024-01-05,180.30,181.87,179.29,181.10,62303300
2024-01-08,184.66,184.70,180.62,181.20,59144500
2024-01-09,184.24,184.25,181.84,183.02,42841800
2024-01-10,185.28,185.49,183.02,183.45,46792900
2024-01-11,184.69,186.14,182.72,185.63,49128400
2024-01-12,185.01,185.83,184.29,185.15,40444700
2024-01-16,182.73,183.36,180.05,181.27,65603000
2024-01-17,181.79,182.04,179.42,180.39,47317400
2024-01-18,187.71,188.22,184.92,185.18,78005800
2024-01-19,190.63,191.01,187.90,188.41,68741000
2024-01-22,192.94,194.38,191.32,191.36,60133900
2024-01-23,194.23,194.80,192.89,194.07,42355600
2024-01-24,193.55,195.42,193.39,194.47,53631300
2024-01-25,193.22,195.31,192.17,194.27,54822100
2024-01-26,191.48,193.81,191.00,193.32,44594000
2024-01-29,190.80,191.26,188.66,191.07,47145600
2024-01-30,187.12,190.86,186.56,190.01,55859400
2024-01-31,183.50,186.19,183.45,186.13,55467800
2024-02-01,185.95,186.04,182.92,183.09,64885400
2024-02-02,184.94,186.42,178.38,178.98,102518000
2024-02-05,186.77,188.33,184.93,187.23,69668800
2024-02-06,188.38,188.39,185.86,185.95,43490800
2024-02-07,188.49,190.12,187.69,189.71,53439000
2024-02-08,187.40,188.62,186.44,188.47,40962000
2024-02-09,188.17,189.31,187.32,187.97,45155200
2024-02-12,186.48,187.99,186.12,187.74,41781900
2024-02-13,184.37,185.54,182.85,185.10,56529500
2024-02-14,183.49,184.86,181.78,184.65,54630500
2024-02-15,183.20,183.82,180.70,182.89,65434500
2024-02-16,181.65,184.18,181.02,182.76,49701400
2024-02-20,180.91,181.77,179.35,181.13,53665600
2024-02-21,181.66,182.23,180.01,181.28,41529700
2024-02-22,183.71,184.29,181.80,182.82,52292200
2024-02-23,181.86,184.37,181.57,184.34,45119700
2024-02-26,180.51,182.10,180.00,181.58,40867400
2024-02-27,181.97,183.26,178.91,180.45,54318900
2024-02-28,180.77,182.46,179.48,181.85,48953900
2024-02-29,180.10,181.91,178.88,180.62,136682600
2024-03-01,179.01,179.88,176.74,178.90,73488000
2024-03-04,174.47,176.26,173.16,175.51,81510100
2024-03-05,169.51,171.42,169.01,170.14,95132400
2024-03-06,168.51,170.62,168.07,170.44,68587700
2024-03-07,168.39,170.11,167.88,168.54,71765100
2024-03-08,170.11,173.07,168.33,168.39,76114600
2024-03-11,172.13,173.75,171.43,172.32,60139500
2024-03-12,172.61,173.40,170.39,172.53,59825400
2024-03-13,170.51,172.57,170.14,172.15,52488700
2024-03-14,172.38,173.68,171.43,172.29,72913500
2024-03-15,172.00,172.00,169.68,170.55,121664700
2024-03-18,173.09,177.07,172.89,174.94,75604200
2024-03-19,175.45,175.97,172.41,173.71,55215200
2024-03-20,178.03,178.03,174.46,175.09,53423100
2024-03-21,170.75,176.85,170.22,176.41,106181300
2024-03-22,171.66,172.43,169.45,171.14,71106600
2024-03-25,170.23,171.32,168.84,169.96,54288300
2024-03-26,169.10,170.80,168.97,169.39,57388400
2024-03-27,172.69,172.97,169.50,169.80,60273300
2024-03-28,170.86,171.61,169.90,171.13,65672700
2024-04-01,169.42,170.63,168.87,170.57,46240500
2024-04-02,168.23,168.73,167.62,168.47,49329500
2024-04-03,169.04,170.06,167.97,168.18,47691700
2024-04-04,168.21,171.30,168.21,169.68,53704400
2024-04-05,168.97,169.78,168.34,168.98,42055200
2024-04-08,167.84,168.59,167.63,168.42,37425500
2024-04-09,169.06,169.47,167.74,168.09,42451200
2024-04-10,167.18,168.48,166.51,168.19,49709300
2024-04-11,174.41,174.83,167.55,167.73,91070300
2024-04-12,175.91,177.72,173.58,173.63,101593300
2024-04-15,172.07,175.99,171.88,174.73,73531800
2024-04-16,168.77,173.13,167.66,171.13,73711200
2024-04-17,167.39,170.03,167.39,169.00,50901200
2024-04-18,166.44,168.03,165.95,167.42,43122900
2024-04-19,164.41,165.80,163.49,165.61,67772100
2024-04-22,165.24,166.66,164.18,164.92,48116400
2024-04-23,166.30,166.45,164.33,164.75,49537800
2024-04-24,168.41,168.69,165.61,165.94,48251800
2024-04-25,169.28,170.00,167.54,168.92,50558300
2024-04-26,168.69,170.72,168.57,169.27,44838400
2024-04-29,172.87,175.40,172.48,172.74,68169400
2024-04-30,169.72,174.36,169.39,172.71,65934800
2024-05-01,168.69,172.09,168.50,168.97,50383100
2024-05-02,172.41,172.79,170.27,171.89,94214900
2024-05-03,182.72,186.33,182.00,185.98,163224100
2024-05-06,181.05,183.54,179.77,181.69,78569700
2024-05-07,181.74,184.23,180.67,182.79,77305800
2024-05-08,182.08,182.41,180.80,182.19,45057100
2024-05-09,183.90,183.99,181.45,181.90,48983000
2024-05-10,182.64,184.67,181.72,184.48,50759500
2024-05-13,185.86,186.68,184.20,185.02,72044800
2024-05-14,187.01,187.88,185.87,187.09,52393600
2024-05-15,189.29,190.22,186.95,187.49,70400000
